D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_27_624.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_27_624.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_27_624.jpg,0,0,0,9.610782
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_27_751.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_27_751.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_27_751.jpg,-0.3,0.3823731,0,9.993947
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_27_847.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_27_847.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_27_847.jpg,-0.5500001,0.6714312,0,10.49731
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_27_930.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_27_930.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_27_930.jpg,0,0.9244683,0,11.11298
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_003.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_003.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_003.jpg,0,1,0,12.04694
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_077.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_077.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_077.jpg,0,1,0,12.92608
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_145.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_145.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_145.jpg,0,1,0,13.33755
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_216.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_216.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_216.jpg,0,1,0,14.19588
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_287.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_287.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_287.jpg,0,1,0,14.97593
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_361.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_361.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_361.jpg,0,1,0,15.81955
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_433.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_433.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_433.jpg,-0.15,1,0,16.38473
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_505.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_505.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_505.jpg,0,1,0,17.22017
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_578.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_578.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_578.jpg,0,1,0,18.06063
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_648.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_648.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_648.jpg,0,1,0,18.69621
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_720.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_720.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_720.jpg,-0.05,1,0,19.51097
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_791.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_791.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_791.jpg,-0.2,1,0,20.10738
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_867.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_867.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_867.jpg,0,1,0,20.8637
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_28_934.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_28_934.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_28_934.jpg,0,1,0,21.65377
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_29_008.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_29_008.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_29_008.jpg,0,1,0,22.25028
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_29_082.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_29_082.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_29_082.jpg,-0.1,1,0,23.03658
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_29_151.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_29_151.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_29_151.jpg,-0.25,1,0,23.5986
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_29_227.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_29_227.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_29_227.jpg,-0.45,0.9581125,0,24.28222
D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\center_2020_06_24_02_26_29_298.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\left_2020_06_24_02_26_29_298.jpg,D:\Python_Projects\CarND-Behavioral-Cloning-P3\IMG\right_2020_06_24_02_26_29_298.jpg,-0.6500001,0.7161695,0,24.731
